# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
22 22 0  386
        1         1 1.0000000000000000199e+30
        1         2 0
        1         3 -0.16666666666666662966
        1         4 -0.66666666666666651864
        1         5 0
        1         6 -0.66666666666666651864
        1         7 0
        1         8 0.16666666666666657415
        1         9 0
        1        10 -6.9388939039072283776e-18
        1        11 5.5511151231257827021e-17
        1        12 0
        1        13 0.16666666666666665741
        1        14 0
        1        15 1.7347234759768070944e-17
        2         1 0
        2         2 1.0000000000000000199e+30
        2         3 0.16666666666666662966
        2         4 0
        2         5 -0.66666666666666651864
        2         6 0
        2         7 -0.66666666666666651864
        2         8 0
        2         9 0.16666666666666657415
        2        10 6.9388939039072283776e-18
        2        11 0
        2        12 5.5511151231257827021e-17
        2        13 0
        2        14 0.16666666666666665741
        2        15 -1.7347234759768070944e-17
        3         1 -0.16666666666666662966
        3         2 0.16666666666666662966
        3         3 -8.3333333333333333092e-07
        3         4 0.1666666666666666019
        3         5 0.16666666666666671293
        3         6 -0.16666666666666665741
        3         7 -0.16666666666666662966
        3         8 5.42101086242752217e-17
        3         9 0
        3        10 -4.1666666666666677134e-07
        3        11 0.16666666666666665741
        3        12 -0.16666666666666671293
        3        13 0
        3        14 1.6913553890773869171e-17
        3        15 -4.1666666666666666546e-07
        4         1 -0.66666666666666640761
        4         2 0
        4         3 0.1666666666666666019
        4         4 1.0000000000000000199e+30
        4         5 0
        4         6 2.7755575615628913511e-16
        4         7 0
        4         8 -0.66666666666666662966
        4         9 0
        4        10 -0.16666666666666671293
        4        11 -1.3333333333333339255
        4        12 0
        4        13 -1.3877787807814456755e-17
        4        14 0
        4        15 -7.6327832942979512154e-17
        5         1 0
        5         2 -0.66666666666666640761
        5         3 0.16666666666666674068
        5         4 0
        5         5 1.0000000000000000199e+30
        5         6 0
        5         7 2.7755575615628913511e-16
        5         8 0
        5         9 -0.66666666666666662966
        5        10 0.33333333333333342585
        5        11 0
        5        12 -1.3333333333333339255
        5        13 0
        5        14 -1.3877787807814456755e-17
        5        15 0.16666666666666671293
        6         1 -0.66666666666666651864
        6         2 0
        6         3 -0.16666666666666665741
        6         4 2.7755575615628913511e-16
        6         5 0
        6         6 1.0000000000000000199e+30
        6         7 0
        6         8 -2.2204460492503130808e-16
        6         9 0
        6        10 -0.16666666666666668517
        6        11 -1.3333333333333332593
        6        12 0
        6        13 -0.66666666666666651864
        6        14 0
        6        15 -0.33333333333333331483
        7         1 0
        7         2 -0.66666666666666651864
        7         3 -0.16666666666666665741
        7         4 0
        7         5 2.7755575615628913511e-16
        7         6 0
        7         7 1.0000000000000000199e+30
        7         8 0
        7         9 -2.2204460492503130808e-16
        7        10 0
        7        11 0
        7        12 -1.3333333333333332593
        7        13 0
        7        14 -0.66666666666666651864
        7        15 0.16666666666666665741
        8         1 0.1666666666666666019
        8         2 0
        8         3 5.8546917314217239436e-17
        8         4 -0.66666666666666662966
        8         5 0
        8         6 -2.3592239273284576484e-16
        8         7 0
